name,geometry_resto
El Kiosko,POINT (439152.4554820504 4475285.609736056)
Mi Estrella,POINT (437394.17273946997 4471892.143609199)
Okashi Sanda,POINT (440343.25688818115 4475249.816607405)
La Reja,POINT (437185.27826188673 4470141.01216827)
Chuvieco,POINT (444474.17158352595 4473238.978797432)
Os Piñeiros,POINT (440644.4554872482 4477867.976967509)
El Rincón Barriero,POINT (435946.1367563653 4469073.404625779)
Cepa,POINT (448529.3068568807 4469920.935571295)
Mesón San Isidro,POINT (439021.9027360507 4472155.133037695)
Mesón El Tonel,POINT (437104.5823846204 4470320.686356521)
La Querencia,POINT (441093.3719208952 4476473.471100542)
Jamonería Salamanca,POINT (440442.65222543577 4477604.10552305)
Mesón Burgalés,POINT (445634.05490910675 4480454.062703576)
Arjona,POINT (445150.72223787836 4470549.324190197)
El Arquibar,POINT (439780.32896423666 4475259.702425243)
Casa Fonso,POINT (438445.7936299106 4471618.16939999)
,POINT (440653.6676056245 4473516.304964331)
Maitake,POINT (442071.3606302123 4474795.04373182)
La Saeta,POINT (441902.75372471346 4475544.797834526)
O Couto,POINT (445809.983340866 4470940.744081382)
Mesón del Cid,POINT (441099.1021692324 4476832.244509428)
Nori Sushi,POINT (437492.91121912794 4471024.777984526)
Mesón del Tío Aquilino,POINT (443143.94039652724 4470677.093893983)
Mesón de la Guitarra,POINT (439908.2052105912 4474085.766978859)
Mesón-Restaurante Ferreiro,POINT (438762.6734750924 4474796.922649652)
Los Barriles,POINT (447409.9839831325 4469398.549384998)
El Horóscopo,POINT (441191.36227070045 4471920.618699029)
Mesón A'Ribeira,POINT (439808.640420887 4471934.404044441)
Asador Avelino,POINT (435895.6140917889 4469337.455200974)
ketutin,POINT (444202.8721825394 4475200.86224416)
El Lagar,POINT (438934.0288060891 4475587.882838713)
Hórreo IV,POINT (442646.9180222698 4475994.213443401)
Del Velero,POINT (439908.0111341665 4473572.418228624)
Mesón Asturies,POINT (438346.2912421769 4473739.484627187)
Anthony's Place,POINT (440222.26981563773 4475749.98960764)
Paladar de Galicia,POINT (440169.2505346111 4476408.373338199)
Romero verde,POINT (440364.9468301928 4475981.88955674)
El Quinto Gallego,POINT (440721.67568994826 4482082.464910001)
El Cordero,POINT (440881.2321362645 4479448.090301328)
Mesón Txistu,POINT (441192.8810014631 4479330.642746687)
Restaurante El Caserío,POINT (441334.10935431364 4479353.156828221)
Piscis,POINT (445498.23043667636 4475838.137093331)
Mesón Gallego II,POINT (440818.5537946262 4479456.089737297)
Mesón Gallego I,POINT (440751.5553262682 4479560.966774548)
Ibérico,POINT (450469.75765403826 4480229.871357068)
Mesón Benavente,POINT (440613.6005067307 4479698.599335243)
Mesón Charro,POINT (434088.6189135196 4485756.63814738)
El Álamo,POINT (446147.06180736783 4476541.771458684)
Ventorro,POINT (447282.4554111706 4470332.554553673)
Mesón Puerto de Foncebadón,POINT (444194.08051172044 4471587.035199661)
Mesón Gallego San Blas,POINT (447759.5459451538 4475353.245941164)
Gallego O'tonel,POINT (445551.0853492906 4476454.444195361)
El Botero,POINT (446152.1821994539 4477362.554035644)
Ochenta Grados,POINT (440318.97281636787 4475579.455999605)
Don Kebap,POINT (440363.16765524703 4478235.114937471)
Bar Restaurante La Dehesa,POINT (439661.86822131654 4478720.730118607)
La Mansión del Chowfan,POINT (439259.98149310827 4478347.253247251)
Mual,POINT (440746.24344385474 4475656.667412651)
La Churrasquita,POINT (442484.25171243434 4484682.997669677)
Quevedo,POINT (440808.8840357418 4473918.708507269)
La Bolera,POINT (444420.91029224097 4478058.965829513)
Callao 24,POINT (444481.9466548796 4477937.305418502)
La Puerta Amarilla,POINT (440984.50183288107 4473669.469175879)
Restaurante Thong,POINT (441733.60990519985 4476489.233699018)
Morgana,POINT (440831.7212574361 4474657.820338629)
,POINT (439735.9357475857 4465623.32983116)
Hello Sushi,POINT (440651.4931356109 4477589.615190984)
SuperBurger,POINT (440520.5687031989 4477598.246754664)
Costello Río,POINT (440780.0862254635 4471709.9561421685)
Los Pepes,POINT (440636.88366176415 4478991.097497118)
Imperio Inca,POINT (440622.9856789897 4479001.697919258)
Mi lindo Ecuador,POINT (440598.31685613305 4478951.085558843)
Patong Thai,POINT (440524.4272272945 4474168.748291828)
La Morena,POINT (441591.7147923261 4479397.398863269)
Bucca Madrid,POINT (441763.6081644565 4479312.104768242)
Mi fresh sushi,POINT (444876.55753394595 4472874.566349127)
Sazón,POINT (440623.86689019337 4479202.580999148)
San Cristóbal,POINT (440564.7906059722 4479195.678956437)
La Alfarería,POINT (444644.59143470693 4473255.790606108)
Foster's Hollywood,POINT (444109.59893467836 4473641.906009038)
100 Montaditos,POINT (444141.1595387203 4473666.447260036)
Casa Bao V,POINT (443867.6571191384 4473398.402120414)
Tomillo,POINT (439998.68420541025 4479063.966920101)
El Rompido,POINT (439377.04422083194 4480187.412733502)
Paulino de Quevedo,POINT (440347.8761909845 4476042.146787412)
La Castela,POINT (442591.62304076296 4474631.2034472)
The Geographic Club,POINT (442512.887859382 4475052.175928458)
Río Sorbe,POINT (440253.7339139705 4480925.445585279)
Umut Kebab,POINT (440290.25331092393 4480921.290950935)
La Taberna de Nazaré,POINT (440576.4975990095 4480827.81898175)
100 Montaditos,POINT (441219.6653017449 4473354.229223322)
Pizza Hut,POINT (440363.0872088236 4478464.556625112)
Marisquería Norte Sur,POINT (440285.74926373083 4477536.896800102)
Ginos,POINT (440284.5759937601 4477514.194080858)
La Taberna del Manu,POINT (440310.6542994667 4477288.575020158)
San Mamés,POINT (440316.77322685334 4477446.600466636)
Saona,POINT (440171.6192479684 4475914.695204214)
Yothai,POINT (439176.5126601298 4474674.864466946)
Hamburguesa Nostra,POINT (439447.42470012547 4475469.72369863)
Los Castaños,POINT (441166.9628851173 4471072.058872577)
Muxía,POINT (441118.21734272334 4471149.046309096)
,POINT (444499.49967447366 4482715.7745195385)
Asador Cruz Nevada,POINT (446427.7686794003 4472728.166789104)
Flora Barragán,POINT (433781.7074703182 4487142.856720675)
Goyo,POINT (446043.9274612053 4473234.125431363)
Taberna La Daniela,POINT (442432.63405925804 4475289.67913213)
Sabor,POINT (442448.6804014006 4475290.266333778)
Vinos y Tapas,POINT (442435.80538822745 4475336.987827651)
Museo del Jamón,POINT (439794.0661986157 4474936.861650342)
Vips,POINT (439767.25072694756 4474910.668549661)
100 Montaditos,POINT (439792.39158149576 4474888.920127536)
Vips,POINT (440037.273766339 4472939.645344748)
Le Chateau de l'Entrecot,POINT (447074.6107497903 4478288.657893909)
Lizarrán,POINT (440396.60372878617 4475558.512802167)
Bresca,POINT (440431.9018842147 4475548.951969993)
Ginos,POINT (440443.51666908484 4475504.312622595)
100 Montaditos,POINT (440475.22042871016 4475472.5903091645)
Lamucca,POINT (440470.92925273214 4475408.67338457)
Xentes,POINT (439734.61290689855 4473502.5324145155)
Don Goyo,POINT (440726.446827895 4481064.130400868)
Bar M & 2,POINT (440347.56428408175 4481185.78718858)
Casa Elías,POINT (446163.11204823904 4477283.239660957)
Vips,POINT (446361.6689303688 4476700.845592638)
Ceres,POINT (440274.965366749 4478062.635452407)
Dolores y Lola,POINT (440209.87823874026 4475614.127215124)
Xamarkanda,POINT (441307.952728894 4473222.528236746)
Raza,POINT (440991.9926385011 4474642.714483681)
Miss Sushi,POINT (441769.8055277663 4475892.65833766)
Machico,POINT (441815.16571787954 4480041.47597805)
Vips,POINT (440297.26076531335 4476099.563088932)
El Tormo,POINT (439366.8031964343 4473701.524245154)
A la caña,POINT (446733.84894543106 4476835.847708311)
El Balcón de Malasaña,POINT (440284.99606921925 4475188.427593995)
La Taberna de Chupi Lerendi,POINT (440440.0937022963 4483987.015227924)
Restaurante Chino Palacio,POINT (447451.560665547 4470050.206707722)
Restaurante Santa Olalla,POINT (443197.3833328137 4474334.976340339)
El Limonero,POINT (441062.30075828993 4479439.457920601)
Sidrería Don Carlos,POINT (441080.54781258834 4479149.8516357085)
China Town,POINT (441047.8663443478 4479027.723438844)
Órale Compadre,POINT (442940.6193111885 4477779.728634124)
Casi,POINT (446086.2716620704 4479666.11062224)
Asador Restaurante Guetaria,POINT (440773.9336748438 4477666.339753924)
Bentley's,POINT (442063.75295079575 4474792.049857865)
Public,POINT (440274.05364396196 4474721.187441408)
Kyoka,POINT (443405.30026636925 4477779.288410543)
Fina Catalina,POINT (439953.9089844186 4475357.350082042)
Jai Alai,POINT (441515.71077915834 4477528.967006693)
Tartufo,POINT (441478.8308255067 4477985.116094187)
Dakar,POINT (440996.92792019213 4466962.26023919)
Vipizza,POINT (439210.3280432895 4476346.824142113)
Morikaen (mejor ramen),POINT (439194.37146137125 4476134.452378086)
Inefable,POINT (439377.7319207793 4476995.626439689)
Taberna Chambería,POINT (439394.580776428 4476946.9465795355)
Mastropiero,POINT (440252.142297077 4475262.175936681)
Maruzzella,POINT (440666.0814179508 4477514.8695224505)
Sol,POINT (439553.0370388242 4466747.0519107105)
Taberna Úbeda,POINT (439322.13007689366 4475235.191167334)
Restaurante Ginger,POINT (440425.7865416662 4473973.4716709955)
Restaurante Reina Sofía,POINT (440964.68155177106 4473210.4254411645)
La Máquina,POINT (441040.4153764196 4479031.223346381)
Maitia,POINT (442377.4308578381 4478453.711330535)
Metro Bistro - Plaza Mayor,POINT (440037.8719059674 4474016.204413835)
Restaurante La Gaditana,POINT (442940.4922949911 4475203.906191373)
Rest. Galeón,POINT (444381.1322451197 4474943.702491379)
cafetería restaurante,POINT (441643.09506666637 4467496.931868923)
Izakaya Han,POINT (440747.5214195813 4474812.884480031)
Som Thai,POINT (440761.6919415886 4474753.08423402)
Taberna La buena viña,POINT (438109.5336542854 4470969.703383249)
Restaurante el Cisne Azul,POINT (440962.805189081 4474902.011344695)
El Fogón,POINT (441201.83029908297 4479458.541631148)
Lateral Fuencarral,POINT (440523.911158617 4474966.656860433)
Knight n' Squire,POINT (441761.96061931265 4479418.55121367)
,POINT (446755.40075947484 4475927.704509462)
Restaurante Universo,POINT (445078.8373516203 4475545.480362264)
El Gamo,POINT (434215.0086718459 4485729.825063059)
La Cozina,POINT (447736.09600246785 4479150.908465028)
El Jardín del Palacio,POINT (447715.244946192 4479171.279289195)
La Siembra,POINT (447709.83945633314 4479367.2418635655)
La Dehesa,POINT (447690.21329808776 4479365.036782942)
Calbenta,POINT (447656.5624132786 4479359.011321758)
,POINT (447632.9041212066 4479280.984470965)
The Table,POINT (440786.4678906297 4475375.202760288)
DLujo,POINT (440929.64673913753 4472124.517017777)
Gilán,POINT (440334.22714628355 4471391.73712317)
De María,POINT (440073.8801988711 4474583.937795841)
#PORNEAT,POINT (444659.5594632444 4475632.462968605)
Casa Santoña,POINT (442155.60988076706 4476345.251672496)
Asador Cristóbal,POINT (440976.28436363017 4479725.302588633)
Surtopía,POINT (442170.1963475855 4476304.244282735)
Breizh,POINT (440324.2619348976 4475097.366807249)
L'Adore,POINT (439972.1908456936 4473600.67709896)
Adrak,POINT (443002.0011975861 4476402.2380783195)
Ti Amo Pizza,POINT (440554.00339662004 4472626.113032063)
Alcaravea,POINT (442235.46972600144 4475943.824618993)
Flash Flash,POINT (442115.80891358573 4475783.777660834)
Pólvora,POINT (442264.7373860701 4476021.270218703)
Restaurante Cassandra,POINT (442141.76673996623 4475909.114325562)
Sandwich Club Café,POINT (442232.825534565 4475731.76732952)
Rubimar,POINT (446591.70398430864 4480404.4839039035)
Bar-Mesón Jardín de Baco,POINT (448360.0748865899 4470621.732658046)
Restaurante Chino La Muralla,POINT (448313.02802654903 4470797.364975699)
Jardín de Baco II,POINT (448566.7065927079 4470095.13271227)
La Dichosa,POINT (439786.28094733355 4475340.589773746)
La Catedral de Zamora,POINT (440896.2922243299 4475821.659520353)
La Taquería de Birra,POINT (439466.6013620299 4473691.5598660065)
Piccolo Diavolo,POINT (440984.04000286857 4473659.304630628)
Bar Sanlúcar,POINT (439486.81592514034 4473622.528116512)
Taberna Cocinarte,POINT (439963.19929583574 4483881.654062789)
Vips,POINT (442579.1164760626 4476519.74837061)
Ramen Kagura,POINT (439870.5419706657 4474267.764763427)
La Gaditana,POINT (443099.12505915674 4475148.418215238)
La Taberna del Arte,POINT (440373.1826008895 4477303.173939619)
Sidrería Balmori,POINT (440316.942352564 4477426.318106967)
Valdemeso,POINT (440226.336619154 4474519.690986788)
Kechua,POINT (439872.3185914509 4474310.499214673)
La Casita Latina,POINT (439930.4989470139 4474570.2326669395)
Gymage,POINT (440211.24789443915 4474771.308138118)
Don Panxo,POINT (439940.90062782995 4475243.638931938)
Olive,POINT (439737.47584459797 4475435.437895804)
Dionisos,POINT (439741.37210853107 4475443.132652874)
La Mestiza,POINT (439863.6493362996 4475370.306760105)
Sigland,POINT (440216.4313625243 4475918.755613671)
Tapaspaña,POINT (439692.7744953915 4474965.838400949)
TAPAloguistaS,POINT (440238.57491519756 4475221.433600415)
Junk Burger,POINT (440765.7365559463 4476665.143574671)
Sushi Gin,POINT (442834.43677474593 4475698.092268854)
,POINT (442902.00578661583 4475695.234887017)
Tandoori Station,POINT (443088.6545172166 4475682.114984442)
Taberna del Olivo,POINT (443064.8431962472 4475650.836726429)
Wok,POINT (439840.3958702731 4474531.991834587)
Ma Bretagne,POINT (440434.3572998168 4475228.167238346)
Foster's Hollywood,POINT (444156.02461704955 4475866.435660739)
La Nicoletta,POINT (441273.1037609708 4478709.904505654)
Royal Thai,POINT (441210.05263969937 4478796.518730015)
Hong Kong,POINT (441237.9034166823 4478679.365131814)
Cre-Cottê,POINT (441244.0488822099 4478712.585739365)
Casa Tinin,POINT (441249.94093741983 4478689.749732257)
Shanghái Mama,POINT (440965.9773726241 4479086.014872008)
Matcha,POINT (440958.9166430996 4479065.878333073)
Raffaella,POINT (445991.5874477921 4479293.690946965)
,POINT (442621.7826594709 4476363.9126417)
Tommy Mel's,POINT (446005.7907892443 4479292.744830094)
El Perro Y La Galleta Castelló,POINT (442183.0168322334 4474948.002976033)
La Tagliatella,POINT (442889.68825525895 4476736.733997194)
Min,POINT (442924.93997793994 4476744.813007434)
Hermanos Saez,POINT (442964.13671972894 4476610.452131807)
El Rincón de Asturias,POINT (440414.3614014944 4472555.666352846)
100 Montaditos,POINT (439922.87370349484 4473663.047051495)
No mames wey,POINT (440772.40618408244 4473290.067717935)
Pimiento Verde,POINT (441876.60139936255 4475262.6891687075)
Alfredo's Barbacoa,POINT (441811.6227738279 4474759.368898424)
Ginos,POINT (442131.3721031236 4476784.980292391)
Vips,POINT (442126.98505144997 4476781.417571217)
"Tasca ""La Farmacia""",POINT (441291.8341316097 4478734.689802482)
Lizarrán,POINT (441324.8640187178 4478678.7718828)
Cafetería Haya 19,POINT (441290.49266694055 4478715.007656303)
Member's,POINT (441324.4210940845 4478672.026121393)
La Metroteca,POINT (441243.4650483915 4478746.236588845)
La Parrilla de Madrid,POINT (441242.63571234484 4478738.883323679)
Taberna La Plaza,POINT (434174.38407218095 4485738.153496539)
Antigua Taquería,POINT (440252.913544568 4473448.032394868)
Los Chuchis,POINT (440512.4538985835 4473199.534818751)
Reataurante El Sol,POINT (446929.1748131099 4474580.457770973)
Horno Panadería San Claudio,POINT (446940.402700964 4474559.398358394)
Tavico,POINT (440813.98638498614 4477498.779856142)
El Rincón del Situ,POINT (440924.91409877286 4479039.882272529)
La familia Perú,POINT (439135.7392160412 4466096.497281816)
La familia,POINT (439061.2720832053 4466075.24364819)
La casa del pica pollo,POINT (439887.94505709305 4465985.044499482)
El Rincón de Paula 2,POINT (439586.8285743562 4465383.523018385)
Freedom Cakes,POINT (440374.9471812983 4474149.710203773)
La Tintorería,POINT (440401.81011930836 4474094.293045044)
La bodeguita,POINT (448276.7590680203 4470692.816029998)
Asador Casa Juan,POINT (441233.17214174336 4479498.058289954)
Matute 12,POINT (440616.4099721256 4473892.545432224)
Vips,POINT (443570.3564007861 4481947.53297302)
La Mafia,POINT (443585.0470742564 4481944.469352521)
gandario,POINT (439318.01788313035 4476235.865234519)
Mesón los Arcos,POINT (436016.7820410922 4472700.187073595)
La Malinche,POINT (439747.29694631224 4474710.139585094)
La Vaca Argentina AZCA,POINT (441351.014021473 4477801.777913203)
Taberna La Descubierta,POINT (440386.2148108604 4474083.560587793)
Castizo,POINT (440476.46048157034 4473951.367429535)
Elcano,POINT (440570.7647018514 4475052.026783279)
Palmira,POINT (439987.4291117954 4474627.6556215165)
La Pimienta,POINT (439997.5424603169 4474627.696770661)
El Jamonal,POINT (440033.14563399594 4474625.0141263)
La Huerta de Tudela,POINT (440730.14707542927 4474048.897241438)
La Libanesa,POINT (439961.93756876595 4474629.103020286)
Tío Papelón,POINT (440014.6290816969 4474592.670594234)
Tierra,POINT (440872.3698797636 4475468.88020698)
Tierra,POINT (439531.8162588545 4476395.940789867)
Viva México,POINT (439831.60150070273 4474776.621558553)
Restaurante Asiático,POINT (439828.0817483166 4474794.721727725)
Airiños do Miño,POINT (439790.76384167606 4475183.712043107)
La Venganza de Malinche,POINT (439616.0570696198 4475179.689331622)
Décimo b,POINT (439661.56371145975 4475293.660023118)
Gabriel,POINT (439667.9884555114 4475304.553589598)
Subiendo al Sur,POINT (439806.728309041 4475224.734080353)
Taquería Mi Ciudad,POINT (439756.7577929597 4475473.391570636)
O Potiño III Casa Lelo,POINT (439765.5585759461 4475490.748926706)
Café Conde Duque,POINT (439776.620745844 4475499.218660922)
La Herradura,POINT (439792.3000956357 4475496.37300505)
La Abacería,POINT (439968.0398174023 4475620.756243775)
37 Tapitas,POINT (439872.85843226156 4475578.137806654)
Ainhoa,POINT (441254.34471866983 4474972.951724033)
Los 33,POINT (441057.44554917753 4475035.251416951)
Bogotá,POINT (440968.49810519954 4475081.941459101)
Taj Mahal,POINT (440939.3178556219 4475066.186391379)
La Mordida,POINT (440961.87975188147 4475101.1755270315)
Lobbo,POINT (442266.4973398336 4477144.409263865)
Toma Jamón,POINT (439631.1751755488 4474313.835825511)
Taberna de Ramales,POINT (439659.4929571211 4474278.640704122)
Pui Thai Tapas,POINT (440888.6240790348 4472893.813077404)
El Caldero,POINT (440609.88805671537 4473933.625083642)
Shi-Shang,POINT (440207.7669733283 4474691.222342492)
El Águila,POINT (440206.72181552637 4474684.636879636)
Kaigang,POINT (440221.10768636933 4474706.6013799785)
Taberna La Bellota,POINT (439983.6274943581 4475546.112424377)
Bululú,POINT (439881.56234810996 4475577.1244167425)
Café Tatiana,POINT (440242.30584134115 4475423.35857762)
Café Bar Arrieta,POINT (439708.92209578183 4474493.673957456)
Las Tapas del Real,POINT (439714.24156456883 4474488.380553931)
Scarlett Ópera,POINT (439720.8530714747 4474481.278454398)
Casa Boni,POINT (439780.5932235708 4474277.744696961)
Rincón Bruxelles,POINT (439799.6611562198 4474272.873770951)
Bar Refra,POINT (439783.09783858113 4474199.786726886)
Amar La Mar,POINT (439852.42010013683 4474208.665828821)
Bar Ramón,POINT (440248.79206395627 4479459.251157313)
Bolívar,POINT (440163.9627980683 4475601.727902912)
Baiyor,POINT (440148.98662627325 4475591.701466961)
Thani,POINT (439706.8897748891 4475155.468996895)
La Panocha,POINT (442867.3365437819 4476232.547241724)
La Cabaña Argentina,POINT (440696.1354997416 4474130.878063227)
Blanca 6,POINT (441212.5358323949 4475583.815563578)
La Ideal,POINT (440032.07296638377 4474048.609235062)
Cerveceria La Campana,POINT (440031.4426337165 4474042.997339467)
Los Galayos,POINT (440042.9589922225 4474046.5018515745)
Generación Beat,POINT (439935.6135530359 4473882.760347625)
Taberna La Peseta,POINT (439895.9259997858 4473908.77642668)
Casa Revuelta,POINT (439945.2323748127 4473940.639879537)
La Tasca de Figueroa,POINT (440936.7935112036 4474828.72992653)
Casa Lolea,POINT (440853.0864002566 4474829.07915693)
Casa Nicasio,POINT (439725.4046061038 4474362.531166881)
Algarabía,POINT (439727.52555943036 4474347.739108908)
La Esquina del Real,POINT (439736.4527927224 4474323.667671834)
Anda Jaleo,POINT (439722.0863921093 4474319.165286595)
Sarang Bang,POINT (439722.55693039147 4474302.76579918)
Igo Ramen,POINT (440150.11043575505 4474735.940854639)
Ribs,POINT (440267.07413450774 4474530.955369451)
El Viejo Almacén de Buenos Aires,POINT (438694.7915300636 4481396.677767562)
All U Can Eat,POINT (440320.60662946786 4474350.509512489)
DiverXO,POINT (441840.25613994803 4478795.958793523)
Casa de Valencia,POINT (438723.9504794752 4475726.325380021)
Taberna Malaspina,POINT (440395.372406905 4474148.992759576)
Domínguez La Taberna,POINT (441189.5414809476 4473084.742542505)
Taberna Almería,POINT (440835.54377033975 4472472.030617391)
La Kitchen,POINT (441103.46161601495 4474823.777482739)
Restaurante Arce,POINT (440904.0420149768 4474821.772641585)
Regañadientes,POINT (441209.19531512697 4474872.434125817)
Tavernetta del Pirata,POINT (440888.0106869635 4475849.310020744)
Terraviva,POINT (440712.5924073507 4476403.9428877905)
Volapié Ponzano,POINT (440687.2187161345 4476475.232545783)
Grosso Napoletano,POINT (440790.25955893216 4476155.639096762)
Tampu,POINT (441165.66117201676 4474825.453641305)
Taqueria La Lupita,POINT (441124.0714012353 4474953.715200182)
El Gato Persa,POINT (441243.6569820932 4474976.410095509)
Shuwa Shuwa,POINT (441124.5388743895 4474981.907184917)
Ascuas,POINT (440582.4867709574 4476802.889158892)
Dakar,POINT (440416.8717140929 4473358.733064692)
Casa Benito,POINT (440702.7695874475 4476314.9154015565)
Kulixka restaurante,POINT (440780.6117926715 4476067.209608143)
Abrasador,POINT (440350.71310216334 4474548.261360872)
La Carmen,POINT (440357.479732173 4474503.005610077)
La Terraza de Salud,POINT (440324.94686806004 4474529.095766106)
La Quintina,POINT (440231.70737624634 4474571.865714327)
All U Can Eat,POINT (440381.43279408646 4474386.990750674)
LaTa TaPa,POINT (440446.06817422376 4474485.461610446)
100 Montaditos,POINT (440451.74555998883 4474498.459788634)
Alpino,POINT (440269.3300822065 4481830.734675095)
Los Il Posto di Conde,POINT (442691.0011491381 4475507.269221204)
TKO Tacos,POINT (442690.8876927553 4475514.618698707)
100 Montaditos,POINT (442691.07544698264 4475521.421942501)
TATEL Madrid,POINT (441660.7702754447 4475985.264469628)
38 de Larumbe,POINT (441662.90132760245 4476014.93103079)
,POINT (439526.99294402706 4478347.911498386)
Rianxo,POINT (440943.59025256266 4477567.646775903)
Cafetería Restaurante Pedro Miguel,POINT (440951.87832460174 4478953.994108133)
Mérimée,POINT (440553.08019963035 4475097.424456482)
Konnichiwa,POINT (440472.4383519542 4475481.182131664)
,POINT (440457.3785674742 4475532.142885537)
Duomo's Pizza,POINT (443286.2028164338 4480907.037397953)
Tiki Taco,POINT (439971.012385996 4474861.7783115115)
Jia Jia Pai Dang,POINT (439847.06939316256 4475039.00645662)
To Youths,POINT (439806.6053341376 4475078.439044906)
Restaurante Xiaonzai,POINT (439719.5754184523 4475162.149481984)
Crepes & Waffles,POINT (440426.80771293864 4475556.940552548)
Flax + Kale,POINT (440593.44644208084 4475786.811557898)
Sazadón,POINT (439327.10753220617 4476390.469140655)
Hanakura,POINT (440577.56066931295 4476076.987296177)
Ni Subo Ni Bajo,POINT (440795.7311028552 4476473.419572215)
Restaurante Cafetería Casa Hernández,POINT (443031.72293402714 4473226.575014606)
Los Nuevos Aros,POINT (440719.9582630545 4479131.951340274)
Riveira II,POINT (440710.2357440005 4479138.733188119)
El Rincón de Tetuán,POINT (440687.04622619017 4479154.835359375)
Rey de Tallarines,POINT (439806.85420960083 4475130.554792356)
Urban Poke,POINT (442938.8261574193 4474762.17037087)
El Capricho del Duque,POINT (442722.8977639468 4474853.51010958)
Parador del Jamón,POINT (442912.6037165788 4474762.314529328)
D'Sesto,POINT (442722.2990798952 4474873.973102979)
Mandarina Plant-Based Kitchen,POINT (439286.71094235964 4475160.725840898)
Massa,POINT (440697.8070396636 4474905.22441391)
El Rincón de Jaén,POINT (442961.56208940933 4475529.004766046)
Entre Cáceres y Badajoz,POINT (443102.29149932205 4475544.252859886)
El Rincón de Jaén,POINT (442963.1002812478 4475551.66050913)
Al Quds,POINT (440293.0866201571 4474573.563417989)
Puerto Rico,POINT (440278.24791115837 4474536.29456937)
La Oreja de Jaime,POINT (440474.9602462098 4474123.628186652)
Cervecería Los Arcos,POINT (435083.7566712349 4471833.562443611)
Cervecería Los Arcos,POINT (435264.46238961414 4468640.250139473)
Domino,POINT (442822.45886849 4484777.90017924)
100 Montaditos,POINT (439706.25247968576 4474465.5551964445)
100 Montaditos,POINT (440277.7447695966 4476008.293298165)
El Patrón Taquería,POINT (439963.8925624955 4474219.561259391)
Malatesta,POINT (440015.4456019854 4474247.255503649)
El Kiosco Del Pan,POINT (442555.9343431341 4475578.037446209)
La Tradición,POINT (439672.69699349336 4474864.01791401)
Sushi More,POINT (440406.05669765605 4474857.918337756)
Alma Llanera,POINT (440396.6546673764 4474877.940999823)
Le Patrón,POINT (440398.32701191225 4474887.674090899)
Nanai,POINT (440419.0325598892 4474916.07150257)
El Bocado de Carole,POINT (440665.70141391165 4474983.0610374715)
Ginos,POINT (440042.80299914244 4472913.714433908)
19 Sushi,POINT (440351.46332059265 4474580.70263989)
Museo del Vino,POINT (440460.3120671059 4474125.298591457)
Zenith,POINT (440480.6751886374 4474881.857931336)
Mashita,POINT (439794.3155213478 4474660.5302614095)
Asador del Abad,POINT (440174.61941801885 4480904.342496036)
Sotanillo,POINT (441021.6633163998 4472974.1887904)
Restaurante Derrière,POINT (441404.55544082134 4477186.647030749)
El Pinchito,POINT (443048.04335228563 4477212.411704427)
lapizza+sana,POINT (447057.93963238545 4478738.337290373)
Río Tormes,POINT (441242.58208597323 4476560.516442099)
Zen Bamboo,POINT (443167.6377623785 4473923.137068481)
Casa Jorge,POINT (442885.94101875654 4476743.622758807)
Pecado Carnal,POINT (440824.27143038844 4475739.683314327)
In Cocina,POINT (440675.5083040329 4475587.48151037)
Nagoya,POINT (440582.2029975603 4475841.960086188)
Casa José Luis,POINT (440786.0758938999 4480291.233855526)
La Taberna de Haya 13,POINT (441278.1456571096 4478545.152587219)
La Tasquita de Teixeira,POINT (441262.41755545465 4478507.522446902)
La Giralda II,POINT (440505.9932328545 4475770.210519234)
Tacos Chapultepec,POINT (440471.87462634646 4475741.264480094)
Casa Manolo,POINT (440901.8462535842 4474275.271600862)
,POINT (440848.0449598048 4475476.9869428715)
La Pinchería,POINT (439958.8129317574 4476151.454767224)
Campiello,POINT (440431.6768119351 4476513.992258759)
Mercato Ballarò,POINT (440894.0167667689 4475834.298934463)
Sergi Arola Gastro,POINT (441173.48215780954 4475887.691900043)
Bienmesabe Arrando,POINT (441080.9882591744 4475900.707054386)
Shapla,POINT (440394.17099838494 4473489.790071785)
,POINT (440642.0936554795 4475419.304465759)
La Estación del Viso,POINT (442183.2319759787 4478091.661150751)
100 Montaditos,POINT (443472.45185466413 4477666.309564062)
El Escaldón,POINT (439753.5913954532 4473846.411811402)
La Choza Náutica,POINT (439594.7355967231 4473930.645247201)
La Chusquery,POINT (439611.4964723142 4473744.573933652)
Petisqueira,POINT (440562.0097195251 4475400.757225809)
Billy Brunch,POINT (440509.587278793 4475346.713256788)
Sidreria Astur,POINT (444379.1139002354 4481891.765458389)
Mama Pizza,POINT (439889.1002232881 4466281.363948467)
Restaurante Real Pinto,POINT (440008.95918056124 4466585.493375583)
Mar y Sal,POINT (440783.46415977296 4472165.875873361)
La Mafia,POINT (441708.96009957005 4480645.049987999)
Bodas Las Florida 90,POINT (431163.2737828493 4479985.590389006)
Vip's,POINT (430906.6322608749 4480027.4863372315)
Restaurante Chino Guang Dong City,POINT (440015.7535685549 4472897.235343576)
,POINT (440034.58895453747 4474573.173523575)
Cocotito,POINT (440376.8237005504 4474155.223408321)
100 Montaditos,POINT (440933.92122646497 4469171.861856307)
Wok 4 You,POINT (440948.08790469466 4469171.417420022)
El rincon de Paula III,POINT (439575.2698618725 4465973.4981939355)
