name,geometry_resto
Casa Tampico,POINT (446121.40069061646 4477330.073152415)
La Masía de José Luis,POINT (437963.2426243446 4474080.494488519)
Madre Mía - Restaurante,POINT (437842.3970633494 4474012.271233222)
La Montaña,POINT (434312.2119063266 4485626.640260968)
Mesón del Pardo,POINT (434205.6538721918 4485698.813431061)
Canalla Tacos y Tragos,POINT (442746.4048862325 4484129.220439497)
Alfredo's Barbacoa,POINT (441729.63185860054 4479104.896922884)
,POINT (443431.0125783276 4484141.091180365)
Petiscos Galegos,POINT (440205.3084276655 4480618.263171862)
Vips,POINT (439947.6300833251 4481252.616848705)
TGI Fridays,POINT (439957.9037395867 4481206.155258339)
La Nicoletta,POINT (443447.52011902543 4484470.503212618)
Kobe,POINT (443459.081059597 4484583.010707539)
Taberna La Bonica,POINT (443150.9970243949 4484377.020157858)
Go! Sushing,POINT (439909.5136084653 4472762.302626568)
La Gamella,POINT (441543.1439266832 4474483.275938354)
Cantina,POINT (444457.0215573258 4482751.945211433)
El Rincón de las Tablas,POINT (442753.0451867839 4483009.136293123)
Bar-Restaurante La Parada,POINT (450700.82231494616 4478005.840214621)
Bar los Arcos,POINT (450687.21616100013 4478006.473728744)
El Rosario,POINT (441173.7763086828 4481599.041905129)
El Escondite Jamonal,POINT (441027.2605578424 4481633.8199143885)
El Oso,POINT (444312.68258859724 4484125.30038799)
Ôven,POINT (442817.5864401137 4483977.227720564)
La Lola,POINT (442835.2844193536 4484135.256039509)
El Jardín de La Máquina,POINT (431503.42446918844 4479782.883896442)
El Barracón,POINT (441910.8187285824 4483983.521018334)
Vips,POINT (443520.8795113365 4483118.344203103)
Ginos,POINT (443531.1046754233 4483124.627679574)
Cafetería Globcafé,POINT (443398.79753822053 4481569.762372695)
La Fragua Del Pinar,POINT (443168.84149539756 4481535.3177540125)
Ni Hao,POINT (443558.9147205107 4481436.542877969)
La Tagliatella,POINT (443596.76153878774 4481941.239494517)
La Castafiore,POINT (441165.81039890635 4474948.225655524)
Finca Lucero Celebraciones,POINT (450575.7100200118 4480186.433840776)
Finca Lucero,POINT (450584.48128264764 4480153.895839099)
El Porche,POINT (450611.44872019504 4480184.788108046)
,POINT (438454.352172171 4477867.950911275)
Can Punyetes,POINT (439703.3881555553 4474169.545286808)
El Ancla del Lago,POINT (437819.4169782711 4474688.052519873)
Bar Restaurante El Paleto,POINT (443009.5229927943 4474199.842645209)
Magaly,POINT (444324.3091770417 4476924.379616907)
La Lupa,POINT (443747.9796694695 4476973.498650523)
Palacio de la Misión,POINT (437860.9026384947 4473961.098895963)
Miguelón,POINT (445556.191868285 4476422.992497955)
Los Parros,POINT (445406.9617473417 4476423.012796393)
El Rincón de E&C,POINT (445346.4528684036 4476540.564944938)
d'casa,POINT (445381.91014361253 4476915.627724838)
Sake Dining Himawari,POINT (441190.0198333543 4474894.8635538565)
Vips,POINT (442024.5019077686 4475760.861370349)
San Francisco,POINT (433807.99232633715 4485742.956471083)
Carbón,POINT (442480.22290220094 4476011.054326091)
Casa Nemesio,POINT (441761.76126378105 4480403.919418048)
El Gato,POINT (443749.114301009 4476682.975958314)
El olvido,POINT (441769.4776331938 4479102.033689078)
,POINT (444644.6642868953 4480403.438213384)
Mawey,POINT (440424.82604312035 4475919.0717580635)
Vips,POINT (438768.8183660915 4482489.093552917)
,POINT (443332.90439022373 4473686.265452008)
Casa Patas,POINT (440462.72550056904 4473803.082973253)
El Ninot,POINT (441889.6067132029 4484046.338774215)
Casa de Córdoba,POINT (443143.79488038825 4478490.234693143)
Masa Naomi,POINT (440591.4111805255 4478231.457787007)
La Favorita,POINT (440783.2011517191 4475785.198606668)
La Cabrera Madrid,POINT (441971.0471631551 4475633.140421864)
La NiÑata cervecería,POINT (441305.11319836514 4484505.78415888)
El Peregrino,POINT (440097.33729003597 4483974.812806499)
Restaurante Kibanda,POINT (435194.5419567003 4473213.6528953845)
Asador Lekeitio,POINT (443010.3121197264 4478460.589527642)
Mayte Commodore,POINT (441865.3791544438 4477462.182569638)
Royal Thai,POINT (443143.58629726246 4484727.083682263)
Ninja Ramen,POINT (440533.9870836522 4475329.857499164)
Beytna,POINT (445027.8585055461 4478671.8123748265)
