name,cod_distrito,distrito,geometry
Abbasïd,1,Centro,POINT (-3.6968614 40.4228117)
Ablanedo,7,Chamberí,POINT (-3.7178653 40.4288618)
Aboca,15,Ciudad Lineal,POINT (-3.6344341 40.4436262)
About Voodoo,1,Centro,POINT (-3.7017107 40.4090204)
Abrasador,1,Centro,POINT (-3.7031171 40.4194247)
Abrazzas,11,Carabanchel,POINT (-3.7340386 40.3896456)
Aceytuna,7,Chamberí,POINT (-3.7040355 40.4324377)
Achuri,2,Arganzuela,POINT (-3.6980834 40.4081287)
Acqua In Bocca Trattoria,3,Retiro,POINT (-3.6705178 40.4097349)
Adil Doner Kebab,15,Ciudad Lineal,POINT (-3.6488205 40.4308754)
Adrak,4,Salamanca,POINT (-3.6720333 40.4363121)
Agra Palace,1,Centro,POINT (-3.7107589 40.4175851)
Ainhoa,1,Centro,POINT (-3.6925055 40.4233148)
Airiños,7,Chamberí,POINT (-3.6986432 40.4334585)
Airiños,20,San Blas-Canillejas,POINT (-3.6048434 40.4272812)
Airiños do Miño,7,Chamberí,POINT (-3.7097772 40.4251088)
Akasaka,7,Chamberí,POINT (-3.718022 40.4267409)
Al Jaima La Cocina del Desierto 2,1,Centro,POINT (-3.6974679 40.4208526)
Al Paseo,5,Chamartín,POINT (-3.6835575 40.4544745)
Al Punto,7,Chamberí,POINT (-3.7121649 40.4459137)
Al Quds,1,Centro,POINT (-3.7037987 40.4196485)
Al Socaire,3,Retiro,POINT (-3.6750319 40.4131984)
Al Sur,7,Chamberí,POINT (-3.6933023 40.4294928)
Al Tran Tran,21,Barajas,POINT (-3.5820736 40.4724032)
Al son de Cuba,2,Arganzuela,POINT (-3.6905649 40.4030128)
Al-Aman II,1,Centro,POINT (-3.7103685 40.4218999)
Al-Mounia,1,Centro,POINT (-3.6905695 40.4221513)
Ala Madrid,1,Centro,POINT (-3.7100667 40.4090686)
Alabaster,1,Centro,POINT (-3.6899478 40.4181895)
Aladino,7,Chamberí,POINT (-3.7120307 40.4259439)
