name,cod_distrito,distrito,geometry
Bengol India,2,Arganzuela,POINT (-3.6975 40.3989)
Benjis Bar,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Benjis. bar,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Benjis.bar,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Bentley's,4,Salamanca,POINT (-3.678 40.4297)
Bentley's,1,Centro,POINT (-3.7039 40.4165)
Berdi,7,Chamberí,POINT (-3.7037 40.4336)
Bergantiños,7,Chamberí,POINT (-3.7037 40.4336)
Berlin,1,Centro,POINT (-3.7039 40.4165)
Best,4,Salamanca,POINT (-3.678 40.4297)
Bestia Kitchen & Bar,4,Salamanca,POINT (-3.678 40.4297)
Bestial,1,Centro,POINT (-3.7039 40.4165)
Bethalia II,16,Hortaleza,POINT (-3.6457 40.4746)
Beytna,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Biang Biang Bar,1,Centro,POINT (-3.7039 40.4165)
Bibo,4,Salamanca,POINT (-3.678 40.4297)
Bicai,6,Tetuán,POINT (-3.7033 40.4582)
Bienmesabe,4,Salamanca,POINT (-3.678 40.4297)
Bienmesabe Arrando,7,Chamberí,POINT (-3.7037 40.4336)
Bienmesabe Trafalgar,7,Chamberí,POINT (-3.7037 40.4336)
Bientirada,7,Chamberí,POINT (-3.7037 40.4336)
Billy Brunch,7,Chamberí,POINT (-3.7037 40.4336)
Bioloco,1,Centro,POINT (-3.7039 40.4165)
Bismillah,1,Centro,POINT (-3.7039 40.4165)
Bistro Urquijo,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Bistronómika,3,Retiro,POINT (-3.6767 40.411)
Bistrot Saconia,6,Tetuán,POINT (-3.7033 40.4582)
Bistró,2,Arganzuela,POINT (-3.6975 40.3989)
Blanca 6,7,Chamberí,POINT (-3.7037 40.4336)
Blanca Rosa,4,Salamanca,POINT (-3.678 40.4297)
Bloved,1,Centro,POINT (-3.7039 40.4165)
Boanerges,13,Puente de Vallecas,POINT (-3.6622 40.3851)
Bocata,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Bocavante,7,Chamberí,POINT (-3.7037 40.4336)
Bocoy,4,Salamanca,POINT (-3.678 40.4297)
Bodas Imperio,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Bodas Las Florida 90,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Bodega Salvaje,4,Salamanca,POINT (-3.678 40.4297)
Bodega de los Secretos,1,Centro,POINT (-3.7039 40.4165)
Bodegas Ricla,1,Centro,POINT (-3.7039 40.4165)
Bogotá,1,Centro,POINT (-3.7039 40.4165)
Bohemia,10,Latina,POINT (-3.745 40.3967)
Bokado,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Bolero Meatballs,1,Centro,POINT (-3.7039 40.4165)
Bolívar,7,Chamberí,POINT (-3.7037 40.4336)
Bombay Blue,2,Arganzuela,POINT (-3.6975 40.3989)
Bombay Blue,1,Centro,POINT (-3.7039 40.4165)
Bombay Masala,1,Centro,POINT (-3.7039 40.4165)
Bombay Palace,1,Centro,POINT (-3.7039 40.4165)
Bombay Palace,1,Centro,POINT (-3.7039 40.4165)
Bombilla,1,Centro,POINT (-3.7039 40.4165)
Bonjuk,4,Salamanca,POINT (-3.678 40.4297)
Bonsai Garden,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Botequim Brunch & Tapas,7,Chamberí,POINT (-3.7037 40.4336)
Botín,1,Centro,POINT (-3.7039 40.4165)
Boulevar 10,19,Vicálvaro,POINT (-3.601 40.4008)
Bovia del Viso,11,Carabanchel,POINT (-3.7409 40.3823)
Brandon's,11,Carabanchel,POINT (-3.7409 40.3823)
Brasa Sabor Perú,6,Tetuán,POINT (-3.7033 40.4582)
Brasa Tía Mariama,19,Vicálvaro,POINT (-3.601 40.4008)
Brasa y Leña,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Brasa y Leña,1,Centro,POINT (-3.7039 40.4165)
Brasa y Leña,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Brasa y leña,2,Arganzuela,POINT (-3.6975 40.3989)
Brasas Madrid,19,Vicálvaro,POINT (-3.601 40.4008)
Braseria peruana,10,Latina,POINT (-3.745 40.3967)
Breizh,1,Centro,POINT (-3.7039 40.4165)
Bremen,2,Arganzuela,POINT (-3.6975 40.3989)
Bresca,1,Centro,POINT (-3.7039 40.4165)
Bresca,7,Chamberí,POINT (-3.7037 40.4336)
Brescia,1,Centro,POINT (-3.7039 40.4165)
Brooklyn,2,Arganzuela,POINT (-3.6975 40.3989)
Brutal Burrito,1,Centro,POINT (-3.7039 40.4165)
Brío chef,7,Chamberí,POINT (-3.7037 40.4336)
Bucca Madrid,5,Chamartín,POINT (-3.6781 40.4518)
Buen Provecho,10,Latina,POINT (-3.745 40.3967)
Buena Boca,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Buenas y Santas,2,Arganzuela,POINT (-3.6975 40.3989)
Buenos Aires,6,Tetuán,POINT (-3.7033 40.4582)
Buffalo Bar,10,Latina,POINT (-3.745 40.3967)
Buffet Libre Gran Avenida,10,Latina,POINT (-3.745 40.3967)
Bulevar,16,Hortaleza,POINT (-3.6457 40.4746)
Bululú,7,Chamberí,POINT (-3.7037 40.4336)
Burela,6,Tetuán,POINT (-3.7033 40.4582)
Burger Grill,1,Centro,POINT (-3.7039 40.4165)
Burguer La Posta,10,Latina,POINT (-3.745 40.3967)
Burmet,2,Arganzuela,POINT (-3.6975 40.3989)
Burnout,1,Centro,POINT (-3.7039 40.4165)
Burritos Tex Mex,1,Centro,POINT (-3.7039 40.4165)
Bus Bar,7,Chamberí,POINT (-3.7037 40.4336)
By the Way,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Byanjan Bar,6,Tetuán,POINT (-3.7033 40.4582)
Byblos,1,Centro,POINT (-3.7039 40.4165)
Bétula Taberna Andaluza,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Bósforos,1,Centro,POINT (-3.7039 40.4165)
Bósforos,1,Centro,POINT (-3.7039 40.4165)
CaboPalos,6,Tetuán,POINT (-3.7033 40.4582)
Cabreira,7,Chamberí,POINT (-3.7037 40.4336)
Cacao,1,Centro,POINT (-3.7039 40.4165)
Cachapeishon,16,Hortaleza,POINT (-3.6457 40.4746)
Cachivache Taberna,5,Chamartín,POINT (-3.6781 40.4518)
Cachivache Taberna Montecarmelo,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Cada Candi,10,Latina,POINT (-3.745 40.3967)
Cafetería Blanco,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Cafetería Casa America,1,Centro,POINT (-3.7039 40.4165)
Cafetería Correos,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Cafetería Filosofía,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Cafetería Geografía e Historia,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Cafetería Globcafé,16,Hortaleza,POINT (-3.6457 40.4746)
Cafetería Haya 19,6,Tetuán,POINT (-3.7033 40.4582)
Cafetería La Estrella,14,Moratalaz,POINT (-3.6454 40.4076)
Cafetería Lily,1,Centro,POINT (-3.7039 40.4165)
Cafetería Magerit,1,Centro,POINT (-3.7039 40.4165)
Cafetería Multiusos,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Cafetería Musical,10,Latina,POINT (-3.745 40.3967)
Cafetería Oskar,1,Centro,POINT (-3.7039 40.4165)
Cafetería Restaurante Pedro Miguel,6,Tetuán,POINT (-3.7033 40.4582)
Cafetería Restaurante Vianda,16,Hortaleza,POINT (-3.6457 40.4746)
Cafetería Veterinaria,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Cafetería de Biología,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Cafetería de Derecho,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Cafetería de Psicología,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Cafetería del CNB,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Cafetería del Rectorado,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Cafetería hospital,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Cafetería restaurante Caja de Socorro,13,Puente de Vallecas,POINT (-3.6622 40.3851)
Cafetín La Quimera,4,Salamanca,POINT (-3.678 40.4297)
Café & Tapas,1,Centro,POINT (-3.7039 40.4165)
Café & Tapas,1,Centro,POINT (-3.7039 40.4165)
Café & Té,4,Salamanca,POINT (-3.678 40.4297)
Café Bar Alma,1,Centro,POINT (-3.7039 40.4165)
Café Bar Arrieta,1,Centro,POINT (-3.7039 40.4165)
Café Bar Orfran,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Café Bio Rico,4,Salamanca,POINT (-3.678 40.4297)
Café Carmen,1,Centro,POINT (-3.7039 40.4165)
Café Comercial,7,Chamberí,POINT (-3.7037 40.4336)
Café Conde Duque,7,Chamberí,POINT (-3.7037 40.4336)
Café El Espejo,4,Salamanca,POINT (-3.678 40.4297)
Café Kundera,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Café Pizzería Para Llevar,7,Chamberí,POINT (-3.7037 40.4336)
Café Tatiana,7,Chamberí,POINT (-3.7037 40.4336)
Café Varela,1,Centro,POINT (-3.7039 40.4165)
Café Zarra,1,Centro,POINT (-3.7039 40.4165)
Café de La Paloma,6,Tetuán,POINT (-3.7033 40.4582)
Café de Oriente,1,Centro,POINT (-3.7039 40.4165)
Café de Paris,6,Tetuán,POINT (-3.7033 40.4582)
Café de los Austrias,1,Centro,POINT (-3.7039 40.4165)
Café del Gallo,12,Usera,POINT (-3.7072 40.381)
Café del Lago,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Café del Nuncio,1,Centro,POINT (-3.7039 40.4165)
Café del Príncipe,1,Centro,POINT (-3.7039 40.4165)
Café del Rio,1,Centro,POINT (-3.7039 40.4165)
Café del Río,1,Centro,POINT (-3.7039 40.4165)
Caja De Cerillas,7,Chamberí,POINT (-3.7037 40.4336)
Cala,7,Chamberí,POINT (-3.7037 40.4336)
Calbenta,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Calcuta,1,Centro,POINT (-3.7039 40.4165)
Calicanto,7,Chamberí,POINT (-3.7037 40.4336)
Califa,1,Centro,POINT (-3.7039 40.4165)
Calisto,7,Chamberí,POINT (-3.7037 40.4336)
Callao 24,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Calle 29,1,Centro,POINT (-3.7039 40.4165)
Calle Mayor,11,Carabanchel,POINT (-3.7409 40.3823)
Caluana,1,Centro,POINT (-3.7039 40.4165)
Camarón,4,Salamanca,POINT (-3.678 40.4297)
Camino Food & Drinks,5,Chamartín,POINT (-3.6781 40.4518)
Camiño,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Campa,10,Latina,POINT (-3.745 40.3967)
Campanilla,21,Barajas,POINT (-3.5795 40.4719)
Campiello,1,Centro,POINT (-3.7039 40.4165)
Campiello,7,Chamberí,POINT (-3.7037 40.4336)
Can Bonet,3,Retiro,POINT (-3.6767 40.411)
Can Pizza,7,Chamberí,POINT (-3.7037 40.4336)
Can Punyetes,1,Centro,POINT (-3.7039 40.4165)
Can Punyetes,1,Centro,POINT (-3.7039 40.4165)
Canada,10,Latina,POINT (-3.745 40.3967)
Canalla Tacos y Tragos,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Canela,1,Centro,POINT (-3.7039 40.4165)
Cangas,2,Arganzuela,POINT (-3.6975 40.3989)
Cannibal Raw Bar,1,Centro,POINT (-3.7039 40.4165)
Cantaespino,6,Tetuán,POINT (-3.7033 40.4582)
Cantalejo,1,Centro,POINT (-3.7039 40.4165)
Cantalejo,7,Chamberí,POINT (-3.7037 40.4336)
Cantina,16,Hortaleza,POINT (-3.6457 40.4746)
Cantina Canalla,1,Centro,POINT (-3.7039 40.4165)
Cantina Canalla Antracita,2,Arganzuela,POINT (-3.6975 40.3989)
Capricho Español,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Caprichos J.J.,7,Chamberí,POINT (-3.7037 40.4336)
Caprichyo,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Capón,2,Arganzuela,POINT (-3.6975 40.3989)
Carballo,11,Carabanchel,POINT (-3.7409 40.3823)
Carbón,4,Salamanca,POINT (-3.678 40.4297)
Cardinale,7,Chamberí,POINT (-3.7037 40.4336)
Cardo&Olivo,2,Arganzuela,POINT (-3.6975 40.3989)
Carlos,17,Villaverde,POINT (-3.6921 40.3401)
Carlos,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Carlos Arroces,16,Hortaleza,POINT (-3.6457 40.4746)
Carmen Bar,4,Salamanca,POINT (-3.678 40.4297)
Carmen's,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Carmencita,6,Tetuán,POINT (-3.7033 40.4582)
Carmencita Brunch,1,Centro,POINT (-3.7039 40.4165)
Carol House,1,Centro,POINT (-3.7039 40.4165)
Carpio Somontes,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Carro,2,Arganzuela,POINT (-3.6975 40.3989)
