zona,nombre,direccion,latitud,longitud,rating,usuarios,precio,tipos
barajas,La Torino,"Plaza Mayor de Barajas, 4, Madrid",40.47369539999999,-3.578274499999999,4.2,2274.0,2.0,"restaurant, food, point_of_interest, establishment"
barajas,La Botica,"Calle de la Botica, 7, Madrid",40.473132,-3.5785701,4.5,155.0,1.0,"meal_delivery, cafe, meal_takeaway, bar, restaurant, food, point_of_interest, store, establishment"
barajas,Vermutería 101,"Avenida de Logroño, 124, Madrid",40.47196,-3.581539999999999,3.9,784.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,La Viña de Nerea,"Avenida de Logroño, 128, Madrid",40.4723181,-3.5815756,4.2,536.0,,"bar, restaurant, food, point_of_interest, establishment"
barajas,Restaurante La Consentida,"Avenida de Logroño, 323, Madrid",40.47228159999999,-3.582044599999999,3.7,1333.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,100 Montaditos,"Plaza Mayor de Barajas, 10, Madrid",40.4739799,-3.5779333,3.6,1280.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,Lizarran Barajas,"Plaza Mayor de Barajas, 10, Madrid",40.4741051,-3.5777442,3.5,1038.0,1.0,"restaurant, bar, food, point_of_interest, establishment"
barajas,McDonald's,"Avenida de Logroño, 303, Madrid",40.4690385,-3.5819897,3.7,2986.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,Sushi & Buey,"Avenida de Logroño, 112, Madrid",40.4702534,-3.5812681,4.1,713.0,2.0,"restaurant, food, point_of_interest, establishment"
barajas,La Abu Parrilla Argentina,"Calle Canal de Suez, 49, Madrid",40.4745737,-3.5788007,4.6,1530.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,Restaurante Martes 13,"Avenida de Logroño, 138, Madrid",40.4729526,-3.5817253,4.3,1240.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,Telepizza Barajas - Comida a Domicilio,"Calle Canal de Suez esquina, Calle Urano, 5, Madrid",40.4727705,-3.57957,3.2,570.0,1.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
barajas,Asadores de Pollo Casa Galván,"Calle de la Botica, 1, Madrid",40.47350240000001,-3.5783028,4.5,763.0,1.0,"meal_takeaway, restaurant, food, point_of_interest, establishment"
barajas,Bar Galicia,"Avenida General, 16, Madrid",40.4723195,-3.579132399999999,4.3,74.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,El Tío Napoletano,"Calle Canal de Suez, 12, Madrid",40.47171929999999,-3.5803005,4.7,30.0,,"restaurant, food, point_of_interest, establishment"
barajas,Bar Urano Marisqueria,"Calle Urano, 2, Madrid",40.47260429999999,-3.5788426,4.4,129.0,1.0,"bar, liquor_store, restaurant, food, point_of_interest, store, establishment"
barajas,Urban Bistro,"Avenida General, 43b, Madrid",40.47100029999999,-3.5798852,4.3,97.0,,"restaurant, food, point_of_interest, establishment"
barajas,Restaurante Jumbo,"Calle de Gonzalo de Céspedes, 20, Madrid",40.4708159,-3.5793371,4.7,4463.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,Taberna El Canal,"Calle Canal de Suez, 25, Madrid",40.47314430000001,-3.579673699999999,4.3,236.0,,"bar, restaurant, food, point_of_interest, establishment"
barajas,Kebab Madrid Barajas,"Avenida de Logroño, 122, Barajas",40.4717483,-3.5813879,4.7,139.0,,"restaurant, food, point_of_interest, establishment"
barajas,Bar Madrid Barajas,"Avenida de Logroño, 122, Madrid",40.4717483,-3.5813879,4.8,17.0,,"restaurant, food, point_of_interest, establishment"
barajas,Cervecería Narvi Los Gallegos,"Avenida de Logroño, 118, Madrid",40.4712741,-3.581308799999999,4.3,657.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,Warmi Nikkei,"Avenida General, 47, Madrid",40.4705106,-3.5803886,,,,"restaurant, food, point_of_interest, establishment"
barajas,La General,"Calle del Planeta, 3, Madrid",40.4706386,-3.5806837,4.6,2522.0,2.0,"restaurant, cafe, bar, store, food, point_of_interest, establishment"
barajas,Chutoro Madrid,"Avenida General, 47, Madrid",40.4704871,-3.580408199999999,4.6,919.0,,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
barajas,Bar Restaurante Albariño,"Avenida de Logroño, 126, Madrid",40.4722758,-3.581563,4.5,229.0,,"bar, restaurant, food, point_of_interest, establishment"
barajas,Bar Vinoteca Restaurante,"Calle Santa Eduvigis, 28, Madrid",40.4731005,-3.5809428,3.3,3.0,,"restaurant, bar, food, point_of_interest, establishment"
barajas,Nepali Kathmandu Tandoori House,"Calle de los Feriantes, 1, Madrid",40.4704093,-3.580372399999999,4.8,387.0,,"restaurant, food, point_of_interest, establishment"
barajas,BLT Barra Libre Tapas Barajas,"Avenida de Logroño, 116, Madrid",40.47093789999999,-3.581318999999999,4.1,1053.0,,"bar, restaurant, food, point_of_interest, establishment"
barajas,Moma Garden,"Avenida de Logroño, 323, Madrid",40.4722836,-3.5820003,3.6,144.0,,"restaurant, bar, food, point_of_interest, establishment"
barajas,Bar Julian,"Calle Camarillas, 2, Madrid",40.4730858,-3.5773087,4.6,139.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,Deleïte Restaurant,"Calle de Algemesí, 33, Madrid",40.4725253,-3.5821636,4.8,609.0,2.0,"restaurant, food, point_of_interest, establishment"
barajas,Cafetería Sol,"Plaza Mayor de Barajas, 6, Madrid",40.47378090000001,-3.578196,3.6,293.0,1.0,"restaurant, cafe, food, point_of_interest, establishment"
barajas,Domino's Pizza,"Avenida de Logroño, 112, Madrid",40.47017899999999,-3.581322,4.6,2942.0,1.0,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
barajas,Hostal Cafetería Restaurante El Príncipe,"Calle Acuario, 8, Madrid",40.473848,-3.5780471,4.0,839.0,2.0,"restaurant, cafe, store, food, point_of_interest, establishment"
barajas,IBIS KITCHEN,"Avenida General, 49, Madrid",40.4698155,-3.5807669,4.1,7.0,,"restaurant, food, point_of_interest, establishment"
barajas,Rodilla,"Avenida General, 36, Madrid",40.4698849,-3.5810174,4.2,103.0,1.0,"restaurant, meal_delivery, cafe, meal_takeaway, store, food, point_of_interest, establishment"
barajas,La Latina Gastrobar,"Avenida de Logroño, 144, Madrid",40.4734849,-3.5819112,3.8,978.0,,"cafe, liquor_store, bar, store, restaurant, food, point_of_interest, establishment"
barajas,Los Arroces de la Finca,"Calle Alaró, 7, Madrid",40.4710955,-3.5826611,4.4,373.0,,"restaurant, food, point_of_interest, establishment"
barajas,Kathmandu Tandoori House,"Calle Acuario, 11, Madrid",40.4743787,-3.5787577,4.7,2735.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,Asador Nuevo Porche | Restaurante Barajas,"Calle Alaró, 5, Madrid",40.4708778,-3.582585900000001,4.7,1427.0,3.0,"restaurant, food, point_of_interest, establishment"
barajas,Cherbourgo,"Plaza Mayor de Barajas, 15, Madrid",40.4738323,-3.5770864,3.6,121.0,1.0,"cafe, bar, restaurant, food, point_of_interest, establishment"
barajas,La Capri de barajas Bar Restaurante,"Plaza Mayor de Barajas, 13, Madrid",40.4740822,-3.5773712,4.2,2041.0,,"bar, restaurant, food, point_of_interest, establishment"
barajas,Finca Lucero,"Calle de Alar del Rey, 14, Madrid",40.4708724,-3.5829003,4.5,590.0,,"restaurant, food, point_of_interest, establishment"
barajas,Sisa’s Restaurant,"Calle de Alar del Rey, 12, Madrid",40.47065020000001,-3.582864500000001,4.7,207.0,,"restaurant, food, point_of_interest, establishment"
barajas,Bar Sena,"Avenida de Logroño, 104, Madrid",40.4692108,-3.5809929,4.4,403.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,La Esquinita Mp,"Calle de Saturno, 64, Madrid",40.47459519999999,-3.5811394,4.4,173.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
barajas,La Fragua,"Calle Canal de Suez, 53, Madrid",40.4749529,-3.5784909,4.4,151.0,1.0,"restaurant, food, point_of_interest, establishment"
